sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/angular_velocity/x
18.899, 0.0578317
18.949, 0.0578273
18.999, 0.0578603
19.049, 0.0578379
19.099, 0.057744
19.149, 0.0576775
19.199, 0.057666
19.249, 0.0576507
19.299, 0.0575874
19.349, 0.0575329
19.399, 0.057535
19.449, 0.0575288
19.499, 0.0574448
19.549, 0.0573374
19.599, 0.0573139
19.649, 0.0573451
19.699, 0.0573076
