20:50:49
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
-0.75,0.62,0.12,-0.93,0.21,2.95,22714
-0.75,0.62,0.11,-1.08,0.08,2.69,22715
-0.75,0.62,0.12,-1.19,0.08,2.65,22716
-0.74,0.62,0.13,-1.08,0.12,2.43,22717
-0.75,0.61,0.11,-1.04,0.18,2.55,22718
-0.74,0.61,0.12,-1.03,0.12,2.78,22719
-0.75,0.61,0.12,-1.03,0.05,2.79,22720
-0.75,0.61,0.12,-1.20,-0.09,2.73,22721
-0.75,0.62,0.12,-1.08,0.02,2.76,22722
-0.74,0.61,0.12,-0.86,0.24,2.51,22723
-0.75,0.61,0.11,-1.00,0.15,2.47,22724
-0.75,0.61,0.12,-1.07,0.12,2.51,22725
-0.75,0.61,0.12,-1.00,0.21,2.63,22726
-0.75,0.60,0.12,-0.94,0.07,2.89,22727
-0.74,0.61,0.11,-1.07,0.08,2.76,22728
-0.75,0.62,0.12,-1.14,0.08,3.01,22729
-0.74,0.62,0.12,-1.08,0.13,2.61,22730
-0.75,0.61,0.12,-1.02,-0.22,2.59,22731
-0.76,0.62,0.12,-1.02,-0.08,2.60,22732
-0.75,0.61,0.11,-0.98,0.14,2.53,22733
-0.75,0.62,0.12,-1.21,0.08,2.90,22734
-0.75,0.61,0.11,-1.18,0.08,2.79,22735
-0.75,0.61,0.12,-1.05,0.11,2.83,22736
-0.74,0.62,0.11,-1.16,0.19,2.57,22737
-0.75,0.62,0.12,-1.13,0.28,2.60,22738
-0.75,0.61,0.10,-1.09,0.10,2.40,22739
-0.76,0.61,0.11,-1.28,0.08,2.59,22740
-0.76,0.60,0.12,-1.10,0.10,2.79,22741
-0.76,0.61,0.12,-0.94,-0.12,2.75,22742
-0.76,0.61,0.12,-0.89,0.02,2.62,22743
-0.75,0.61,0.12,-1.08,-0.05,2.78,22744
-0.75,0.61,0.12,-1.14,0.13,2.47,22745
-0.75,0.61,0.12,-1.01,0.02,2.54,22746
-0.75,0.61,0.12,-1.21,0.13,2.66,22747
-0.75,0.61,0.11,-0.95,0.00,2.61,22748
-0.75,0.60,0.12,-1.02,0.00,2.86,22749
-0.75,0.61,0.12,-0.95,0.26,2.83,22750
-0.74,0.62,0.12,-1.08,0.16,2.72,22751
-0.75,0.62,0.13,-1.08,-0.02,2.55,22752
-0.75,0.62,0.11,-1.21,0.22,2.56,22753
-0.75,0.61,0.11,-1.29,0.07,2.59,22754
-0.74,0.61,0.12,-1.31,0.11,2.47,22755
-0.74,0.61,0.12,-1.24,0.37,2.95,22756
-0.75,0.61,0.12,-0.88,-0.01,2.81,22757
-0.75,0.62,0.12,-1.18,0.22,2.69,22758
-0.75,0.61,0.12,-1.26,0.23,2.53,22759
-0.75,0.62,0.12,-1.11,0.35,2.30,22760
-0.75,0.61,0.11,-0.93,0.15,2.48,22761
-0.76,0.60,0.12,-1.01,0.11,2.53,22762
-0.76,0.60,0.11,-1.04,0.18,2.83,22763
-0.75,0.60,0.13,-1.11,0.05,2.72,22764
-0.75,0.61,0.11,-1.13,0.11,2.75,22765
-0.75,0.61,0.11,-1.04,0.02,2.74,22766
-0.74,0.61,0.12,-1.06,0.01,2.51,22767
-0.75,0.62,0.12,-0.80,0.04,2.55,22768
-0.76,0.61,0.11,-1.08,-0.06,2.63,22769
-0.75,0.61,0.11,-1.11,0.18,2.86,22770
-0.74,0.61,0.12,-1.19,0.11,2.84,22771
-0.75,0.61,0.11,-1.09,0.13,2.73,22772
-0.75,0.62,0.12,-1.01,-0.01,2.65,22773
-0.74,0.62,0.12,-1.28,-0.01,2.80,22774
-0.75,0.61,0.11,-1.27,0.24,2.76,22775
-0.75,0.61,0.11,-1.26,0.28,2.68,22776
-0.76,0.61,0.11,-1.19,0.23,2.72,22777
-0.75,0.61,0.12,-1.18,0.09,2.55,22778
-0.75,0.62,0.12,-1.05,0.13,2.69,22779
-0.75,0.61,0.13,-1.06,-0.07,2.63,22780
-0.75,0.61,0.12,-1.13,0.16,2.53,22781
-0.75,0.61,0.11,-1.27,0.07,2.58,22782
-0.75,0.60,0.12,-0.92,-0.10,2.66,22783
-0.76,0.61,0.12,-1.02,0.05,2.73,22784
-0.74,0.62,0.12,-1.22,0.11,2.74,22785
-0.75,0.61,0.12,-1.08,0.05,2.69,22786
-0.75,0.61,0.12,-0.94,0.01,2.57,22787
-0.75,0.61,0.12,-0.97,0.13,2.66,22788
-0.75,0.61,0.11,-1.15,0.18,2.70,22789
-0.75,0.62,0.12,-1.11,0.14,2.55,22790
-0.75,0.61,0.12,-1.11,0.05,2.58,22791
-0.75,0.61,0.12,-0.98,-0.08,2.73,22792
-0.75,0.61,0.12,-0.92,0.00,2.79,22793
-0.75,0.61,0.12,-1.09,0.23,2.67,22794
-0.76,0.61,0.12,-1.05,0.09,2.66,22795
-0.76,0.60,0.12,-1.17,0.23,2.73,22796
-0.75,0.62,0.11,-1.06,0.02,2.55,22797
-0.75,0.61,0.11,-1.17,0.14,2.85,22798
-0.75,0.61,0.12,-0.94,0.03,2.79,22799
-0.75,0.61,0.11,-0.89,0.09,2.66,22800
-0.75,0.61,0.12,-0.99,0.19,2.58,22801
-0.75,0.61,0.12,-0.99,0.02,2.63,22802
-0.75,0.61,0.12,-0.97,0.07,2.69,22803
-0.75,0.61,0.12,-0.95,-0.23,2.63,22804
-0.74,0.62,0.12,-1.19,0.00,2.58,22805
-0.75,0.62,0.12,-1.00,-0.15,2.64,22806
-0.74,0.61,0.11,-0.84,-0.05,2.64,22807
-0.75,0.62,0.12,-1.02,0.04,2.84,22808
-0.75,0.62,0.11,-1.06,-0.07,2.67,22809
-0.75,0.61,0.12,-1.37,0.18,2.59,22810
-0.74,0.61,0.11,-1.05,-0.11,2.42,22811
-0.75,0.62,0.12,-0.94,0.18,2.51,22812
-0.76,0.61,0.12,-1.11,0.07,2.63,22813
-0.74,0.61,0.12,-1.02,0.19,2.63,22814
-0.75,0.61,0.12,-1.15,0.21,2.47,22815
-0.74,0.60,0.12,-1.05,0.21,2.55,22816
-0.75,0.60,0.12,-1.23,0.04,2.65,22817
-0.76,0.60,0.12,-1.07,-0.08,2.75,22818
