20:28:25
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
0.86,0.41,0.37,-7.90,10.47,-2.34,97381
0.91,0.39,0.42,-3.50,12.02,-1.66,97382
0.94,0.38,0.46,-3.76,12.62,-0.34,97383
0.69,0.61,0.15,-13.27,8.37,-1.02,97384
0.73,0.51,0.22,-15.34,8.50,-3.60,97385
1.00,0.25,0.34,-6.63,11.49,-2.11,97386
0.96,0.41,0.41,-0.38,14.14,1.11,97387
0.80,0.57,0.27,-4.45,13.38,0.15,97388
0.84,0.53,0.28,-10.65,10.11,-1.17,97389
0.81,0.50,0.23,-9.43,5.97,-1.30,97390
0.80,0.52,0.16,-10.31,6.59,-1.92,97391
0.86,0.45,0.33,-10.43,8.46,-2.69,97392
0.92,0.34,0.31,-4.69,10.13,-1.28,97393
0.96,0.37,0.32,-1.12,10.80,0.47,97394
0.70,0.62,0.07,-5.91,9.90,-0.64,97395
0.78,0.52,0.26,-12.95,9.66,-3.11,97396
0.89,0.37,0.29,-8.50,9.75,-2.92,97397
1.01,0.30,0.45,0.02,10.44,-0.50,97398
0.79,0.53,0.21,0.34,10.23,0.53,97399
0.68,0.61,0.27,-8.18,9.16,-1.63,97400
0.81,0.49,0.36,-11.90,6.04,-3.19,97401
0.94,0.36,0.42,-9.08,5.40,-2.13,97402
0.84,0.43,0.29,-7.74,8.92,-1.48,97403
0.86,0.42,0.27,-7.22,11.14,-1.08,97404
0.84,0.44,0.37,-1.80,12.92,-0.21,97405
0.89,0.54,0.44,-1.95,12.30,-0.49,97406
0.76,0.66,0.33,-14.04,8.11,-3.36,97407
0.78,0.52,0.18,-19.02,6.39,-4.66,97408
0.97,0.27,0.30,-7.84,10.40,-2.27,97409
0.88,0.40,0.41,-0.48,14.45,-0.07,97410
0.81,0.53,0.27,-6.09,13.52,-1.80,97411
0.84,0.53,0.28,-12.14,9.67,-3.21,97412
0.89,0.41,0.33,-8.08,9.57,-2.37,97413
0.85,0.51,0.33,-7.95,10.54,-1.90,97414
0.79,0.47,0.38,-11.54,9.68,-2.91,97415
0.85,0.38,0.33,-9.67,9.73,-2.49,97416
0.91,0.38,0.36,-4.24,9.98,-0.31,97417
0.74,0.55,0.20,-4.34,11.98,-0.02,97418
0.73,0.55,0.28,-10.56,12.71,-1.74,97419
0.89,0.41,0.34,-9.95,12.53,-1.77,97420
0.89,0.45,0.33,-7.77,11.84,-0.28,97421
0.70,0.54,0.24,-10.74,11.27,-0.83,97422
0.77,0.46,0.32,-11.50,12.56,-1.52,97423
0.93,0.34,0.32,-3.60,14.01,0.68,97424
0.93,0.44,0.41,1.00,15.79,2.66,97425
0.73,0.67,0.27,-8.17,12.91,1.02,97426
0.81,0.50,0.36,-12.14,12.11,-1.11,97427
0.93,0.37,0.40,-5.72,11.68,0.76,97428
0.88,0.45,0.32,-2.66,13.75,2.09,97429
0.78,0.53,0.34,-8.07,13.64,-0.20,97430
0.84,0.41,0.28,-9.84,11.59,-0.91,97431
0.90,0.34,0.30,-2.63,13.10,0.72,97432
0.81,0.55,0.22,-5.13,13.24,0.30,97433
0.79,0.57,0.22,-12.97,13.31,-1.98,97434
0.92,0.35,0.40,-10.91,13.18,-1.53,97435
0.94,0.33,0.43,-2.08,12.50,0.50,97436
0.78,0.51,0.36,-2.85,13.84,0.16,97437
0.71,0.62,0.23,-12.69,12.16,-2.35,97438
0.87,0.43,0.27,-12.80,11.33,-2.63,97439
0.93,0.34,0.47,-7.35,11.72,-0.74,97440
0.80,0.51,0.32,-9.31,13.81,-2.04,97441
0.83,0.44,0.33,-14.31,14.77,-3.31,97442
0.91,0.36,0.34,-9.20,15.30,-1.38,97443
0.91,0.40,0.41,-4.85,17.63,0.60,97444
0.72,0.56,0.42,-11.40,15.98,-1.26,97445
0.81,0.49,0.33,-16.95,14.57,-3.71,97446
0.96,0.32,0.33,-11.34,13.50,-1.55,97447
0.84,0.50,0.35,-8.90,15.49,-0.63,97448
0.77,0.53,0.43,-15.09,16.34,-3.14,97449
0.90,0.37,0.47,-14.72,16.14,-2.87,97450
0.93,0.30,0.48,-7.07,17.37,-0.22,97451
0.73,0.53,0.36,-8.92,17.30,-0.70,97452
0.73,0.48,0.37,-16.87,16.89,-3.42,97453
0.94,0.22,0.35,-11.68,18.01,-1.64,97454
0.88,0.41,0.40,-8.56,18.02,-0.37,97455
0.75,0.52,0.43,-13.71,17.23,-2.45,97456
0.83,0.45,0.30,-16.49,16.80,-3.47,97457
0.90,0.37,0.32,-8.65,17.98,-0.33,97458
0.87,0.41,0.46,-3.27,20.58,2.24,97459
0.73,0.62,0.34,-11.20,17.81,-0.15,97460
0.73,0.53,0.39,-16.12,14.36,-1.86,97461
0.88,0.34,0.36,-9.90,14.36,-0.27,97462
0.83,0.41,0.30,-5.27,17.40,2.30,97463
0.77,0.50,0.35,-7.00,19.62,2.38,97464
0.86,0.44,0.37,-8.68,17.60,1.72,97465
0.83,0.45,0.46,-6.94,16.58,2.28,97466
0.74,0.53,0.32,-11.24,14.85,1.23,97467
0.77,0.47,0.37,-17.24,15.74,-1.53,97468
0.93,0.31,0.45,-13.87,17.73,-0.19,97469
1.00,0.26,0.45,-5.05,21.80,3.59,97470
0.76,0.53,0.39,-4.70,22.72,4.39,97471
0.68,0.58,0.38,-11.88,20.59,1.16,97472
0.75,0.53,0.43,-15.27,17.54,-0.53,97473
0.92,0.33,0.52,-11.43,17.01,1.06,97474
0.88,0.43,0.39,-10.29,17.70,2.02,97475
0.79,0.45,0.34,-10.24,19.31,1.79,97476
0.89,0.35,0.38,-6.77,20.64,2.39,97477
0.87,0.44,0.54,-7.05,20.10,2.61,97478
0.75,0.51,0.52,-14.69,18.20,0.02,97479
0.77,0.39,0.46,-17.78,16.43,-2.05,97480
0.87,0.27,0.45,-12.08,16.86,-0.08,97481
0.84,0.37,0.34,-7.83,19.31,2.15,97482
0.73,0.46,0.40,-10.74,20.09,1.04,97483
0.83,0.47,0.41,-12.56,20.09,0.47,97484
0.92,0.34,0.43,-7.82,18.43,2.02,97485
0.73,0.55,0.39,-6.46,17.68,2.00,97486
0.72,0.53,0.42,-12.21,16.89,-0.33,97487
0.78,0.45,0.43,-14.85,14.78,-1.44,97488
0.89,0.28,0.49,-11.11,15.17,0.05,97489
0.79,0.43,0.36,-11.07,16.95,0.48,97490
0.74,0.37,0.38,-11.95,20.07,-0.56,97491
0.88,0.32,0.41,-9.05,20.78,0.12,97492
0.88,0.35,0.37,-6.02,19.07,1.87,97493
0.77,0.58,0.44,-9.58,17.45,0.14,97494
0.75,0.57,0.37,-13.05,15.66,-1.37,97495
0.82,0.37,0.48,-11.15,13.88,-1.12,97496
0.85,0.41,0.39,-11.23,14.53,0.56,97497
0.77,0.42,0.45,-11.10,16.62,0.21,97498
0.84,0.33,0.42,-9.50,17.84,0.44,97499
0.84,0.28,0.50,-5.43,18.64,1.90,97500
0.72,0.48,0.36,-6.85,17.30,1.66,97501
0.71,0.53,0.39,-12.94,16.37,-2.31,97502
0.74,0.50,0.52,-17.38,13.62,-4.53,97503
0.95,0.23,0.45,-12.33,14.95,-2.08,97504
0.84,0.31,0.29,-8.61,16.86,0.61,97505
0.69,0.53,0.44,-11.34,18.69,-2.38,97506
0.86,0.36,0.44,-10.40,17.62,-2.10,97507
0.87,0.32,0.58,-6.14,16.01,0.79,97508
0.74,0.59,0.38,-8.63,14.96,0.17,97509
0.68,0.54,0.41,-14.62,12.74,-3.57,97510
0.72,0.36,0.47,-14.85,11.53,-5.07,97511
0.94,0.21,0.57,-11.27,14.04,-2.36,97512
0.82,0.35,0.45,-9.84,16.83,-0.92,97513
0.74,0.41,0.49,-9.82,17.77,-2.00,97514
0.77,0.43,0.54,-9.54,15.47,-2.63,97515
0.71,0.48,0.50,-11.30,13.98,-3.36,97516
0.81,0.43,0.43,-13.37,15.41,-3.63,97517
0.83,0.35,0.39,-11.73,16.51,-1.25,97518
0.80,0.39,0.52,-7.69,15.73,-0.66,97519
0.82,0.38,0.49,-3.54,13.00,0.12,97520
0.75,0.48,0.48,-4.18,8.74,-0.94,97521
0.73,0.51,0.45,-8.62,5.73,-4.50,97522
0.80,0.47,0.44,-10.88,2.48,-6.43,97523
0.86,0.30,0.46,-6.30,1.76,-5.12,97524
0.92,0.26,0.45,1.39,3.88,-1.28,97525
0.87,0.45,0.43,5.47,5.76,1.44,97526
0.77,0.54,0.45,2.75,4.51,0.59,97527
0.73,0.59,0.49,-2.18,0.73,-2.21,97528
0.72,0.54,0.53,-6.27,-2.76,-5.26,97529
0.79,0.37,0.48,-6.82,-3.58,-5.59,97530
0.85,0.24,0.42,-2.32,0.10,-2.07,97531
0.82,0.26,0.48,3.03,4.05,1.53,97532
0.70,0.39,0.52,2.33,3.47,0.14,97533
0.69,0.46,0.51,-0.73,1.07,-2.40,97534
0.78,0.42,0.49,-2.53,-0.24,-3.11,97535
0.85,0.31,0.45,1.55,1.92,-1.05,97536
0.78,0.44,0.43,0.69,1.60,-0.81,97537
0.74,0.51,0.51,-1.06,0.44,-1.97,97538
0.82,0.41,0.48,-2.31,-1.08,-2.74,97539
0.82,0.33,0.45,-0.40,-0.37,-1.55,97540
0.76,0.43,0.46,-0.34,0.32,-1.27,97541
0.75,0.43,0.49,-1.87,-0.21,-2.32,97542
0.76,0.35,0.48,-1.85,-0.34,-2.47,97543
0.80,0.34,0.47,0.18,0.21,-1.72,97544
0.78,0.38,0.49,1.32,0.79,-1.24,97545
0.78,0.42,0.46,1.02,0.76,-1.34,97546
0.78,0.43,0.47,-0.08,0.02,-2.06,97547
0.78,0.43,0.49,-0.60,-0.77,-2.62,97548
0.81,0.42,0.47,-1.21,-1.44,-2.90,97549
0.80,0.41,0.46,-1.18,-1.02,-2.94,97550
0.82,0.37,0.46,-0.21,-0.16,-2.48,97551
0.78,0.41,0.47,-0.54,-0.44,-2.73,97552
0.77,0.41,0.47,-1.03,-0.75,-3.31,97553
0.80,0.39,0.45,-1.02,-0.89,-3.30,97554
0.79,0.40,0.48,-0.99,-0.32,-3.28,97555
0.79,0.41,0.47,-1.05,-0.27,-3.22,97556
0.80,0.39,0.48,-0.94,-0.35,-3.23,97557
0.79,0.40,0.47,-0.87,-0.71,-3.48,97558
0.78,0.41,0.47,-1.65,-0.73,-3.98,97559
0.78,0.39,0.47,-1.67,-0.79,-4.34,97560
0.80,0.38,0.48,-1.38,-0.67,-4.37,97561
0.79,0.39,0.46,-1.10,-0.37,-4.30,97562
0.79,0.40,0.47,-1.01,-0.35,-4.33,97563
0.79,0.41,0.46,-1.05,-0.10,-4.29,97564
0.78,0.42,0.47,-1.45,-0.21,-4.23,97565
0.79,0.43,0.47,-1.75,-0.58,-4.58,97566
0.79,0.41,0.47,-1.85,-0.45,-4.53,97567
0.79,0.41,0.47,-1.97,-0.42,-4.35,97568
0.78,0.41,0.46,-1.98,-0.12,-4.36,97569
0.79,0.39,0.47,-1.81,0.08,-4.01,97570
0.79,0.39,0.46,-1.40,0.48,-4.01,97571
0.78,0.41,0.47,-1.35,0.35,-3.83,97572
0.78,0.41,0.47,-1.59,0.42,-3.99,97573
0.79,0.41,0.47,-1.69,0.31,-4.07,97574
0.79,0.41,0.48,-1.33,0.26,-3.82,97575
0.78,0.41,0.46,-1.27,0.34,-3.63,97576
0.79,0.41,0.46,-1.32,0.45,-3.40,97577
0.78,0.41,0.48,-1.33,0.47,-3.40,97578
0.79,0.41,0.46,-1.41,0.37,-3.23,97579
0.78,0.41,0.47,-1.34,0.50,-3.05,97580
0.79,0.40,0.47,-1.09,0.72,-2.94,97581
0.78,0.41,0.47,-1.08,1.01,-2.70,97582
0.78,0.41,0.47,-0.87,1.15,-2.38,97583
0.79,0.42,0.47,-0.91,0.90,-2.14,97584
0.78,0.41,0.48,-0.98,0.95,-2.08,97585
0.78,0.40,0.47,-0.98,1.26,-1.95,97586
0.78,0.41,0.47,-0.85,1.21,-1.76,97587
0.79,0.40,0.48,-0.73,1.21,-2.05,97588
0.79,0.41,0.47,-0.82,1.18,-1.67,97589
0.78,0.40,0.48,-0.79,1.00,-1.79,97590
0.78,0.41,0.47,-0.67,1.15,-1.81,97591
0.78,0.41,0.48,-0.79,1.12,-1.56,97592
0.78,0.40,0.48,-0.48,1.06,-1.61,97593
0.79,0.41,0.46,-0.66,1.03,-1.57,97594
0.79,0.40,0.46,-0.79,1.18,-1.66,97595
0.80,0.40,0.47,-0.78,1.07,-1.74,97596
0.78,0.40,0.47,-0.76,1.24,-1.69,97597
0.78,0.41,0.48,-0.60,1.14,-1.77,97598
0.79,0.41,0.46,-0.98,1.15,-1.82,97599
0.79,0.40,0.48,-0.78,0.96,-1.98,97600
0.79,0.40,0.47,-0.94,1.06,-2.08,97601
0.79,0.40,0.47,-0.89,1.07,-2.04,97602
0.79,0.40,0.47,-0.87,1.02,-2.17,97603
0.79,0.40,0.47,-0.84,0.89,-2.14,97604
0.79,0.39,0.47,-1.08,0.92,-2.53,97605
0.79,0.40,0.46,-1.14,0.76,-2.66,97606
0.79,0.40,0.47,-1.02,0.76,-2.81,97607
0.79,0.40,0.47,-0.94,0.88,-2.93,97608
0.79,0.39,0.47,-0.95,0.69,-2.98,97609
0.78,0.41,0.47,-1.18,0.71,-3.19,97610
0.78,0.41,0.47,-1.31,0.62,-3.31,97611
0.78,0.40,0.47,-1.53,0.44,-3.30,97612
0.79,0.40,0.47,-1.66,0.47,-3.49,97613
0.79,0.40,0.48,-1.62,0.43,-3.70,97614
0.78,0.40,0.48,-1.40,0.41,-3.88,97615
0.78,0.40,0.48,-1.43,0.34,-3.74,97616
0.79,0.40,0.48,-1.68,0.25,-3.82,97617
0.78,0.40,0.47,-1.53,0.11,-3.99,97618
0.78,0.40,0.47,-1.58,0.18,-3.98,97619
0.78,0.40,0.47,-1.45,0.20,-3.93,97620
0.78,0.40,0.47,-1.44,0.20,-3.97,97621
0.78,0.41,0.47,-1.42,0.05,-4.06,97622
0.78,0.40,0.47,-1.46,0.02,-4.11,97623
0.79,0.41,0.47,-1.56,-0.18,-4.04,97624
0.78,0.40,0.47,-1.53,-0.02,-3.86,97625
0.77,0.41,0.47,-1.47,-0.10,-3.85,97626
0.78,0.41,0.47,-1.20,-0.02,-3.65,97627
0.79,0.40,0.47,-1.27,0.13,-3.66,97628
0.78,0.41,0.47,-1.40,0.10,-3.50,97629
0.78,0.41,0.48,-1.39,0.17,-3.31,97630
0.79,0.40,0.48,-1.14,0.08,-3.25,97631
0.79,0.41,0.47,-1.05,0.09,-3.26,97632
0.78,0.40,0.47,-1.22,0.17,-2.99,97633
0.78,0.41,0.47,-1.22,0.32,-3.13,97634
0.79,0.41,0.47,-0.94,0.25,-3.10,97635
0.78,0.41,0.47,-0.95,0.23,-2.87,97636
0.78,0.41,0.46,-0.99,0.45,-2.78,97637
0.78,0.40,0.47,-1.19,0.44,-2.56,97638
0.79,0.41,0.46,-1.10,0.58,-2.66,97639
0.78,0.40,0.47,-0.95,0.43,-2.47,97640
0.79,0.41,0.47,-0.74,0.81,-2.34,97641
0.79,0.41,0.47,-0.98,0.85,-2.25,97642
0.79,0.40,0.47,-0.90,0.77,-2.34,97643
0.78,0.40,0.47,-0.89,0.93,-2.16,97644
0.79,0.41,0.47,-0.89,0.94,-2.09,97645
0.79,0.41,0.47,-0.89,0.90,-2.20,97646
0.79,0.40,0.47,-0.94,0.95,-2.03,97647
0.78,0.40,0.47,-0.81,1.08,-2.08,97648
