20:26:45
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
0.85,0.54,0.21,-8.01,7.96,-1.85,78107
0.84,0.51,0.32,-8.07,7.89,-1.68,78108
0.84,0.53,0.41,-7.71,6.15,-1.37,78109
0.77,0.50,0.24,-9.61,5.49,-1.50,78110
0.85,0.44,0.11,-9.02,7.34,-1.41,78111
0.90,0.39,0.32,-4.77,7.65,-0.84,78112
0.85,0.44,0.36,-4.64,5.08,-1.56,78113
0.86,0.36,0.29,-4.89,5.59,-1.02,78114
0.82,0.41,0.25,-3.14,9.06,-0.79,78115
0.86,0.47,0.31,-2.69,10.83,-0.76,78116
0.87,0.55,0.25,-2.55,6.34,-1.01,78117
0.82,0.53,0.19,-4.28,3.21,-1.63,78118
0.86,0.44,0.26,-4.03,5.33,-1.48,78119
0.84,0.48,0.31,-3.74,6.62,-1.47,78120
0.86,0.52,0.36,-6.88,3.43,-1.68,78121
0.86,0.45,0.22,-6.12,3.83,-2.07,78122
0.84,0.42,0.29,-3.83,6.51,-2.33,78123
0.85,0.52,0.25,-3.47,5.77,-2.40,78124
0.89,0.48,0.31,-3.06,4.31,-2.24,78125
0.85,0.41,0.33,-3.92,4.58,-1.57,78126
0.83,0.39,0.33,-2.98,7.66,-1.31,78127
0.80,0.47,0.36,-3.51,6.87,-1.58,78128
0.82,0.48,0.27,-4.60,6.33,-2.12,78129
0.83,0.42,0.26,-5.15,7.22,-2.09,78130
0.86,0.44,0.29,-5.89,8.92,-2.12,78131
0.83,0.53,0.28,-6.24,6.20,-2.89,78132
0.85,0.55,0.32,-7.76,4.81,-3.21,78133
0.84,0.48,0.40,-7.70,6.33,-2.95,78134
0.86,0.45,0.28,-7.50,7.43,-2.15,78135
0.80,0.50,0.28,-7.18,4.79,-2.04,78136
0.86,0.42,0.26,-3.36,5.02,-2.18,78137
0.88,0.45,0.28,-2.57,4.36,-2.25,78138
0.88,0.37,0.26,-0.60,3.85,-1.82,78139
0.82,0.43,0.31,1.22,3.93,-1.45,78140
0.80,0.50,0.26,-1.33,4.14,-1.76,78141
0.84,0.42,0.34,-1.18,6.89,-1.66,78142
0.86,0.47,0.26,-3.31,7.33,-1.50,78143
0.83,0.48,0.25,-4.88,5.89,-1.88,78144
0.82,0.50,0.26,-5.37,6.23,-2.72,78145
0.85,0.50,0.31,-6.66,6.88,-2.74,78146
0.84,0.50,0.26,-6.70,5.92,-2.64,78147
0.86,0.50,0.31,-7.53,4.69,-2.35,78148
0.79,0.52,0.33,-9.22,3.97,-2.85,78149
0.85,0.38,0.26,-9.21,4.97,-2.58,78150
0.87,0.35,0.27,-6.59,6.96,-1.92,78151
